event_cause,veh_type,corridor,requires_road_closure,priority,hour_ist,day_of_week,incident_duration_min
vehicle_breakdown,private_bus,Non-corridor,False,Low,10,Tuesday,38.74983805
tree_fall,unknown,Non-corridor,False,Low,1,Friday,293.3450075
tree_fall,unknown,Non-corridor,True,Low,1,Friday,2928.5208131000004
pot_holes,unknown,unknown,False,Low,13,Tuesday,9.079776783333331
tree_fall,unknown,Non-corridor,False,Low,1,Friday,2907.6902057166667
others,unknown,Bellary Road 1,True,High,1,Friday,106.41915116666668
others,unknown,Tumkur Road,False,High,1,Friday,133.52983253333335
tree_fall,unknown,Bellary Road 1,False,High,2,Friday,1829.3005564666664
vehicle_breakdown,bmtc_bus,ORR East 1,False,High,2,Wednesday,55.541728516666666
vehicle_breakdown,private_car,Bellary Road 1,False,High,3,Wednesday,69.32987603333332
road_conditions,unknown,Non-corridor,False,Low,3,Wednesday,61.27697078333333
vehicle_breakdown,private_car,Non-corridor,False,Low,3,Wednesday,36.41233746666667
tree_fall,unknown,Bellary Road 1,False,High,2,Friday,1819.0784875333331
tree_fall,unknown,Bellary Road 1,False,High,2,Friday,1823.1111353833328
tree_fall,unknown,Bellary Road 1,False,High,2,Friday,1825.6380844833332
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,4,Wednesday,83.22766023333334
tree_fall,unknown,Non-corridor,False,Low,2,Friday,321.23818236666665
vehicle_breakdown,bmtc_bus,West of Chord Road,False,High,6,Wednesday,41.797760616666665
others,unknown,Non-corridor,False,Low,2,Friday,15.88912515
vehicle_breakdown,lcv,Non-corridor,False,Low,8,Wednesday,83.47854003333333
vehicle_breakdown,bmtc_bus,Mysore Road,False,High,10,Wednesday,52.75157615
vehicle_breakdown,private_bus,ORR North 1,False,High,3,Friday,74.82553706666666
vehicle_breakdown,heavy_vehicle,Mysore Road,False,High,9,Wednesday,47.68990556666667
vehicle_breakdown,lcv,Mysore Road,False,High,14,Wednesday,102.3569732
vehicle_breakdown,bmtc_bus,Magadi Road,False,High,2,Thursday,106.48373361666668
vehicle_breakdown,heavy_vehicle,Hosur Road,True,High,1,Thursday,75.3592525
water_logging,unknown,ORR East 1,False,High,4,Friday,49.972616783333336
vehicle_breakdown,bmtc_bus,Mysore Road,True,High,5,Friday,111.6212591
vehicle_breakdown,bmtc_bus,Hosur Road,False,High,5,Friday,52.83199456666667
others,unknown,Non-corridor,False,Low,6,Friday,81.46960444999999
tree_fall,unknown,Non-corridor,True,Low,5,Friday,178.15932105
construction,unknown,Bellary Road 2,False,High,5,Thursday,31.910260883333333
pot_holes,unknown,Non-corridor,False,Low,3,Tuesday,1510.57253935
vehicle_breakdown,truck,Non-corridor,False,Low,6,Thursday,11.80107465
vehicle_breakdown,auto,Magadi Road,False,High,6,Friday,24.50433823333333
tree_fall,unknown,Non-corridor,False,Low,11,Thursday,1228.0686473666667
vehicle_breakdown,lcv,Tumkur Road,False,High,7,Thursday,86.29591815
vehicle_breakdown,bmtc_bus,ORR North 1,False,High,8,Thursday,18.84050655
vehicle_breakdown,lcv,Tumkur Road,False,High,9,Friday,36.504006333333336
vehicle_breakdown,ksrtc_bus,Mysore Road,True,High,9,Friday,23.38282283333333
